"age","workclass","education_num","marital_status","occupation","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
39,"3",13,"2","0","4","0",2174,0,40,"0","0"
50,"2",13,"0","3","4","0",0,0,13,"0","0"
38,"1",9,"1","5","4","0",0,0,40,"0","0"
53,"1",7,"0","5","2","0",0,0,40,"0","0"
28,"1",13,"0","9","2","1",0,0,40,"0","0"
37,"1",14,"0","3","4","1",0,0,40,"0","0"
49,"1",5,"0","7","2","1",0,0,16,"0","0"
52,"2",9,"0","3","4","0",0,0,45,"0","1"
31,"1",14,"2","9","4","1",14084,0,50,"0","1"
42,"1",13,"0","3","4","0",5178,0,40,"0","1"
37,"1",10,"0","3","2","0",0,0,80,"0","1"
30,"3",13,"0","9","1","0",0,0,40,"1","1"
23,"1",13,"2","0","4","1",0,0,30,"0","0"
32,"1",12,"2","11","2","0",0,0,50,"0","0"
40,"1",11,"0","2","1","0",0,0,40,"0","1"
34,"1",4,"0","13","0","0",0,0,45,"0","0"
25,"2",9,"2","4","4","0",0,0,35,"0","0"
32,"1",9,"2","6","4","0",0,0,40,"0","0"
38,"1",7,"0","11","4","0",0,0,50,"0","0"
43,"2",14,"1","3","4","1",0,0,45,"0","1"
40,"1",16,"0","9","4","0",0,0,60,"0","1"
54,"1",9,"1","7","2","1",0,0,20,"0","0"
35,"0",5,"0","4","2","0",0,0,40,"0","0"
43,"1",7,"0","13","4","0",0,2042,40,"0","0"
59,"1",9,"1","12","4","1",0,0,40,"0","0"
56,"3",13,"0","12","4","0",0,0,40,"0","1"
19,"1",9,"2","2","4","0",0,0,40,"0","0"
54,"1",10,"0","9","1","0",0,0,60,"4","1"
39,"1",9,"1","3","4","0",0,0,80,"0","0"
49,"1",9,"0","2","4","0",0,0,40,"0","0"
23,"3",12,"2","10","4","0",0,0,52,"0","0"
20,"1",10,"2","11","2","0",0,0,44,"0","0"
45,"1",13,"1","3","4","0",0,1408,40,"0","0"
30,"0",10,"0","0","4","0",0,0,40,"0","0"
22,"3",10,"0","7","2","0",0,0,15,"0","0"
48,"1",7,"2","6","4","0",0,0,40,"0","0"
21,"1",10,"2","6","4","0",0,0,40,"0","0"
19,"1",9,"0","0","4","1",0,0,25,"0","0"
31,"1",10,"0","11","4","0",0,0,38,"0","1"
48,"2",12,"0","9","4","0",0,0,40,"0","0"
31,"1",5,"0","6","4","0",0,0,43,"0","0"
53,"2",13,"0","9","4","0",0,0,40,"0","0"
24,"1",13,"0","12","4","0",0,0,50,"0","0"
49,"1",9,"1","0","4","1",0,0,40,"0","0"
25,"1",9,"2","5","4","0",0,0,35,"0","0"
57,"0",13,"0","9","2","0",0,0,40,"0","1"
53,"1",9,"0","6","4","0",0,0,38,"0","0"
44,"1",14,"1","3","4","1",0,0,40,"0","0"
41,"3",11,"0","2","4","0",0,0,40,"0","0"
29,"1",11,"2","9","4","0",0,0,43,"0","0"
25,"1",10,"0","3","3","1",0,0,40,"0","0"
18,"1",9,"2","7","4","1",0,0,30,"0","0"
47,"1",15,"0","9","4","1",0,1902,60,"0","1"
50,"0",13,"1","3","4","0",0,0,55,"0","1"
47,"2",9,"1","3","4","0",0,0,60,"0","0"
43,"1",10,"0","12","4","0",0,0,40,"0","1"
46,"1",3,"0","6","4","0",0,0,40,"0","0"
35,"1",11,"0","7","4","0",0,0,40,"0","0"
41,"1",9,"0","0","4","0",0,0,48,"0","0"
30,"1",9,"0","6","4","0",5013,0,40,"0","0"
30,"1",13,"0","11","4","0",2407,0,40,"0","0"
32,"1",4,"0","9","4","0",0,0,40,"0","0"
48,"1",9,"0","13","4","0",0,0,40,"0","0"
42,"1",16,"0","9","4","0",0,0,45,"0","1"
29,"1",10,"1","12","4","0",0,0,58,"0","0"
36,"1",9,"0","2","4","0",0,0,40,"0","0"
28,"1",10,"1","0","4","1",0,0,40,"0","0"
53,"1",9,"0","0","4","1",0,0,40,"0","1"
49,"2",10,"0","3","4","0",0,0,50,"0","1"
25,"1",10,"2","9","4","0",0,0,40,"0","0"
19,"1",10,"2","9","4","0",0,0,32,"0","0"
31,"1",13,"1","11","2","1",0,0,40,"0","0"
29,"2",13,"0","11","4","0",0,0,70,"0","1"
23,"1",10,"2","6","4","0",0,0,40,"0","0"
79,"1",10,"0","9","4","0",0,0,20,"0","0"
27,"1",9,"2","7","4","0",0,0,40,"0","0"
40,"1",12,"0","0","4","0",0,0,40,"0","0"
67,"1",6,"0","9","4","0",0,0,2,"0","0"
18,"1",7,"2","7","4","1",0,0,22,"0","0"
31,"3",4,"0","4","4","0",0,0,40,"0","0"
